Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2015-04-07,69.134666,69.664327,68.800144,69.274053,1085943
2015-04-08,69.218297,69.692204,68.930236,69.692204,825415
2015-04-09,69.692204,70.621433,69.608573,70.454172,1017957
2015-04-10,70.621433,71.764385,70.612141,71.7458,1051657
2015-04-13,71.439155,71.78297,71.076756,71.290479,766627
2015-04-14,70.900202,71.281186,70.454172,70.732943,845518
2015-04-15,70.52851,71.467032,70.045311,70.863035,1101532
2015-04-16,70.863033,71.792262,70.184695,70.649309,1108641
2015-04-17,70.389126,70.965248,67.991714,68.158973,1527758
2015-04-20,68.093929,69.543527,68.05676,69.459896,829178
2015-04-21,69.692204,70.909494,69.478481,70.277615,1073170
2015-04-22,70.156818,70.85374,68.893066,69.153249,979918
2015-04-23,69.078912,69.497066,67.787284,68.066052,1257224
2015-04-24,68.307652,69.720081,68.307652,69.143962,887726
2015-04-27,69.274051,71.095342,68.772267,71.095342,987947
2015-04-28,71.141802,71.476324,70.472756,70.872322,1165167
2015-04-29,70.928079,71.439155,68.112514,68.186849,1479564
2015-04-30,68.251898,68.837313,67.712945,68.224019,1148391
2015-05-04,68.781559,70.64931,68.354113,70.231159,1221909
2015-05-05,71.559955,72.526353,68.577128,68.651464,2119490
2015-05-06,68.660759,69.255466,67.73153,68.121804,855992
2015-05-07,68.112514,68.307652,66.077501,68.028882,1536343
2015-05-08,69.138823,70.08749,68.32297,69.954675,1062129
2015-05-11,69.94519,70.334143,69.54675,70.2203,671670
2015-05-12,69.821863,70.31517,68.80679,70.049539,1030112
2015-05-13,70.466956,70.65669,69.423423,69.708026,684876
2015-05-14,69.34753,71.131023,68.968063,70.91283,598707
2015-05-15,71.102563,71.349216,70.11595,70.580798,916984
2015-05-18,70.694636,71.614843,70.20133,71.501006,871197
2015-05-19,71.814063,72.610943,71.662276,72.392748,889913
2015-05-20,72.316856,72.516076,71.42511,72.411725,723403
2015-05-21,72.47813,72.56351,71.662276,71.823549,590688
2015-05-22,71.82355,71.90893,70.675663,71.339727,744977
2015-05-26,71.102563,72.013283,69.80289,69.897756,1009071
2015-05-27,70.182356,70.466956,69.499316,69.973652,1031953
2015-05-28,69.57521,69.71751,68.588596,69.214715,1141785
2015-05-29,69.20523,69.51829,67.55455,67.858122,1404270
2015-06-01,67.858123,68.285023,67.52609,68.000423,667775
2015-06-02,68.29451,68.398863,66.890483,67.573526,1009990
2015-06-03,67.858123,68.901656,67.478657,68.389373,1110093
2015-06-04,68.218616,68.484243,66.95689,67.611467,976036
2015-06-05,66.975863,67.44071,66.21693,66.548965,1137808
2015-06-08,66.50153,67.288923,65.495943,66.463581,1526580
2015-06-09,66.406663,66.596397,65.239803,65.695163,1156183
2015-06-10,65.64773,67.58301,65.628757,67.440706,1181850
2015-06-11,67.52609,69.043956,67.49763,68.275537,1177447
2015-06-12,68.256563,68.256563,66.065143,66.539476,1442585
2015-06-15,65.837463,66.10309,65.287237,65.571839,1178398
2015-06-16,65.457997,66.283337,64.670603,66.008225,1082186
2015-06-17,66.10309,66.378203,64.831877,65.439026,883174
2015-06-18,65.19237,66.50153,64.357543,66.435122,1135855
2015-06-19,66.567937,66.824077,65.05007,65.315695,2250110
2015-06-22,66.406663,67.137137,66.178983,66.947403,1529619
2015-06-23,67.545063,67.72531,67.023297,67.288923,976502
2015-06-24,67.260463,67.715823,66.75767,67.326871,1099246
2015-06-25,67.051757,67.715823,66.691263,67.345841,843500
2015-06-26,66.75767,67.317383,66.207443,66.824078,815814
2015-06-29,64.129863,66.795617,64.034997,65.809006,1490261
2015-06-30,65.44851,65.837463,64.85085,65.125965,1530223
2015-07-01,66.511017,67.545063,65.79003,66.79562,1871830
2015-07-02,66.691263,67.165597,66.634343,66.824078,733249
2015-07-03,66.50153,66.719723,65.600297,65.979766,655225
2015-07-06,64.547277,66.112577,64.471383,65.571839,910308
2015-07-07,65.552863,65.628757,63.209657,63.370933,1822245
2015-07-08,63.560663,63.96859,63.25709,63.551175,997916
2015-07-09,63.74091,64.404977,63.579637,64.091915,1067540
2015-07-10,65.36313,65.439023,64.50933,65.249289,1052262
2015-07-13,65.87541,66.75767,65.609783,66.406663,1037811
2015-07-14,66.50153,67.004323,65.600297,66.197956,654024
2015-07-15,66.406663,66.75767,66.122063,66.425634,666859
2015-07-16,66.776643,68.03837,66.596397,67.924528,952270
2015-07-17,68.076317,68.190156,67.165597,67.250976,757191
2015-07-20,67.52609,68.028883,66.776643,66.83356,709318
2015-07-21,67.118163,68.019397,66.937917,67.54506,818107
2015-07-22,67.29841,67.86761,67.108677,67.545063,631857
2015-07-23,68.076317,68.417836,67.763257,68.076317,736171
2015-07-24,68.047857,68.588596,67.791717,67.791717,761941
2015-07-27,67.620957,67.66839,66.406663,66.539477,1019769
2015-07-28,66.78613,67.829663,66.406663,67.58301,711096
2015-07-29,68.047857,68.417836,67.317383,68.332456,696599
2015-07-30,68.484243,71.149996,68.46527,70.14441,1664741
2015-07-31,70.191843,70.789503,69.68905,70.647203,728269
2015-08-03,70.647203,71.149996,70.305683,70.533363,636524
2015-08-04,70.277223,70.57131,69.74597,70.353116,618232
2015-08-05,70.391063,70.694636,69.821863,70.65669,818373
2015-08-06,71.149996,72.487616,69.527776,69.708023,1472418
2015-08-07,69.907243,70.381576,69.357016,69.708023,684122
2015-08-10,69.992623,70.447983,69.11985,70.22979,542259
2015-08-11,69.954676,69.983136,67.46917,67.66839,1349293
2015-08-12,66.95689,67.345843,64.79393,65.144937,1422303
2015-08-13,65.951303,66.311797,65.30621,65.685677,866848
2015-08-14,65.856437,66.21693,64.983663,65.353643,526981
2015-08-17,65.752083,66.027197,64.300623,64.888797,619238
2015-08-18,64.784443,64.87931,64.22473,64.376517,703658
2015-08-19,64.034997,64.974177,63.91167,63.94013,940611
2015-08-20,63.589123,64.186783,62.68789,62.906083,1242685
2015-08-21,62.042797,63.721937,61.86255,62.11869,1768989
2015-08-24,60.420577,61.739223,59.30115,60.41109,3138122
2015-08-25,61.217457,62.60251,60.75261,62.279963,1822685
2015-08-26,61.37873,62.91557,61.141564,61.701277,1005702
2015-08-27,63.39939,64.08243,62.963003,63.54169,1007825
2015-08-28,63.560663,63.949617,62.792243,63.551177,657014
2015-08-31,63.247603,63.608097,62.71635,63.295037,535616
2015-09-01,62.355857,62.564563,61.331297,62.014337,932203
2015-09-02,62.080743,62.763783,61.625384,62.355857,782409
2015-09-03,62.877623,64.22473,62.640457,63.82629,831621
2015-09-04,63.133763,63.304523,61.52103,61.83409,1084564
2015-09-07,62.270477,62.725837,61.995363,62.185097,377560
2015-09-08,62.526617,63.560663,62.270477,63.00095,688546
2015-09-09,64.16781,64.22473,62.649943,62.839677,590504
2015-09-10,62.60251,63.010437,62.071257,62.34637,569977
2015-09-11,62.48867,62.63097,61.786657,62.242017,549642
2015-09-14,62.23253,62.981977,61.815117,62.393803,536482
2015-09-15,62.60251,62.782757,61.568464,62.071257,888114
2015-09-16,62.640457,63.721937,62.536103,63.446823,1303847
2015-09-17,63.788343,66.833563,63.42785,65.771057,2504844
2015-09-18,66.406663,67.763257,66.04617,66.567937,3300239
2015-09-21,66.349743,67.55455,66.07463,67.15611,973675
2015-09-22,67.194057,67.431223,65.70465,65.837463,1248937
2015-09-23,65.486457,66.178983,65.239803,65.714137,919191
2015-09-24,65.87541,66.207443,64.348057,65.02161,1054897
2015-09-25,66.50153,67.89607,66.406663,67.715823,1443472
2015-09-28,67.592497,67.962477,67.137137,67.24149,897465
2015-09-29,66.50153,67.630443,66.321283,66.95689,853955
2015-09-30,67.915043,68.987036,67.649417,68.313483,967634
2015-10-01,69.11985,69.328556,67.649417,68.019397,940514
2015-10-02,68.417836,69.00601,67.18457,68.114263,1032318
2015-10-05,69.252663,70.353116,68.987036,69.68905,1144979
2015-10-06,69.983136,71.927903,69.74597,70.732583,1314608
2015-10-07,70.960263,72.003796,70.495416,70.82745,1121410
2015-10-08,70.71361,71.776116,70.381576,71.36819,952093
2015-10-09,71.90893,72.544536,71.804576,72.383263,1114905
2015-10-12,72.572996,72.572996,71.472543,71.90893,742116
2015-10-13,71.662276,71.70971,70.561823,71.444083,953646
2015-10-14,71.28281,72.402236,70.77053,72.19353,1277884
2015-10-15,72.383263,73.84421,71.79509,73.16117,1910046
