Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2015-04-07,91.787575,92.428326,91.347058,92.228092,168174
2015-04-08,92.508419,92.988983,92.067903,92.908889,167525
2015-04-09,93.669781,95.592033,93.509593,95.15152,213632
2015-04-10,95.551986,96.433019,95.231611,96.112644,202604
2015-04-13,96.03255,96.392972,94.390625,94.831143,140560
2015-04-14,94.791095,94.831142,93.629734,93.990154,146935
2015-04-15,94.510766,95.311705,94.230438,94.75105,117371
2015-04-16,94.911236,94.991329,93.509593,93.910062,140660
2015-04-17,93.870015,94.270485,92.62856,93.229266,193529
2015-04-20,93.429499,94.150344,92.62856,92.908889,134883
2015-04-21,93.189217,94.150344,92.668607,93.749877,95235
2015-04-22,92.908889,93.469546,90.385932,91.066727,356256
2015-04-23,91.747528,91.867668,89.865322,90.025511,218185
2015-04-24,90.425979,90.626213,89.184524,90.305838,184791
2015-04-27,90.466026,91.547293,89.865322,91.307011,130471
2015-04-28,91.307011,91.467199,89.544946,90.065554,152820
2015-04-29,90.425979,90.786401,87.903022,88.103257,211269
2015-04-30,90.506073,90.506073,86.901849,88.263442,314595
2015-05-04,88.18335,90.14565,87.983116,89.905369,135860
2015-05-05,90.265791,90.906542,86.421285,86.541429,377663
2015-05-06,86.261098,89.384759,85.17983,87.021991,403605
2015-05-07,87.102083,87.102083,83.577953,85.980767,337013
2015-05-08,87.262271,87.742834,86.341191,86.701614,293171
2015-05-11,86.821755,87.182177,85.620347,86.261095,175353
2015-05-12,85.780534,86.181004,84.579126,85.70044,243112
2015-05-13,86.090063,87.37499,85.219629,85.468323,354656
2015-05-14,85.261079,86.7947,84.597891,86.587452,108578
2015-05-15,87.043396,88.286873,86.919048,87.043396,215781
2015-05-18,87.043396,88.121076,85.924266,86.877601,144766
2015-05-19,87.706584,90.442233,87.706584,90.19354,277493
2015-05-20,90.359335,90.442233,89.198756,89.613247,173902
2015-05-21,89.157307,89.571799,88.494119,88.784262,137148
2015-05-22,88.577017,89.032959,88.121076,88.452667,98917
2015-05-26,88.784264,89.198756,87.457888,87.830929,112881
2015-05-27,87.830931,88.369771,87.209193,88.203976,171291
2015-05-28,88.121076,88.784264,86.753251,87.333539,131119
2015-05-29,87.499337,87.499337,85.634122,86.172959,256283
2015-06-01,86.587454,86.753251,85.924266,86.463109,120947
2015-06-02,87.043396,87.043396,85.551223,85.799919,178204
2015-06-03,87.209193,87.292091,86.131513,86.628903,297875
2015-06-04,86.463106,87.582236,85.551223,86.628903,229865
2015-06-05,86.546005,86.960497,85.385426,85.426878,161180
2015-06-08,85.468325,85.71702,84.141949,84.349195,161538
2015-06-09,84.514992,84.888035,83.395863,83.851806,224198
2015-06-10,83.810355,86.753251,83.644558,86.7118,376730
2015-06-11,86.711802,88.659916,86.504556,87.623683,211525
2015-06-12,87.209193,87.87238,85.799919,85.882815,198996
2015-06-15,85.385426,85.71702,83.976152,84.349195,209382
2015-06-16,84.059051,85.302528,83.105718,85.095283,224421
2015-06-17,85.592672,85.675571,84.224848,84.390647,193769
2015-06-18,84.017602,84.349195,82.517139,84.349195,269686
2015-06-19,84.349195,85.219629,83.520211,83.520211,407863
2015-06-22,85.799919,86.007165,84.970934,86.007165,213020
2015-06-23,86.421657,87.250642,86.25586,86.463109,200838
2015-06-24,86.753251,86.753251,85.841368,86.463109,130062
2015-06-25,86.25586,87.043396,85.136731,85.924268,135395
2015-06-26,85.675571,86.83615,85.385426,86.380205,169067
2015-06-29,82.898472,85.758469,82.48398,84.556442,229029
2015-06-30,83.727457,84.141949,82.740965,83.105718,397976
2015-07-01,83.934703,85.095282,83.271515,84.0176,208873
2015-07-02,84.473543,84.473543,83.603109,83.686005,137384
2015-07-03,83.893254,84.556442,83.395863,83.64456,169948
2015-07-06,82.318183,83.520211,82.318183,82.898472,149246
2015-07-07,83.520211,83.520211,81.257082,81.29024,169488
2015-07-08,82.243574,82.434241,81.082996,81.348268,246697
2015-07-09,81.978299,83.312965,81.563807,83.064267,276852
2015-07-10,85.468325,85.468325,83.934703,84.846585,250440
2015-07-13,85.592672,85.965716,84.970934,85.634124,197289
2015-07-14,85.799919,86.33876,85.053832,86.33876,169695
2015-07-15,86.048614,86.587454,85.799919,86.255863,160885
2015-07-16,86.546005,88.079627,86.338759,87.540785,151208
2015-07-17,87.499337,88.121076,87.209193,88.038175,189532
2015-07-20,87.955279,89.157307,87.955279,88.535571,148696
2015-07-21,88.950061,89.032959,88.203974,88.659913,136404
2015-07-22,89.944842,90.483682,88.825713,89.861944,282877
2015-07-23,90.60803,90.60803,89.53035,89.779045,156986
2015-07-24,89.779045,90.359335,88.99151,89.157307,103166
2015-07-27,88.99151,89.198756,87.706584,87.955279,130420
2015-07-28,88.784264,89.447451,88.245424,89.198756,169620
2015-07-29,89.820495,90.152088,88.825713,89.240205,175556
2015-07-30,89.737596,89.944842,89.074408,89.737596,115189
2015-07-31,89.986292,91.395566,89.861944,91.022522,165827
2015-08-03,91.229769,91.975855,90.566581,91.312667,170427
2015-08-04,90.525132,94.297012,90.525132,94.297012,245403
2015-08-05,94.42136,94.42136,92.721941,93.177883,217910
2015-08-06,92.970637,94.131215,92.846289,93.633824,145846
2015-08-07,93.675274,93.675274,92.639043,92.846289,105234
2015-08-10,93.385129,94.131215,92.721941,94.006867,125195
2015-08-11,93.550926,93.550926,89.696147,90.732378,251768
2015-08-12,89.281654,89.281654,86.877599,87.33354,232743
2015-08-13,88.701365,90.06919,88.701365,89.406002,171296
2015-08-14,89.613248,89.861944,88.950061,89.447451,77518
2015-08-17,90.193538,90.60803,88.328322,89.364553,85277
2015-08-18,89.364553,89.654698,88.659916,88.659916,79475
2015-08-19,88.038177,88.618467,87.582236,87.748033,107862
2015-08-20,87.250642,87.499337,84.390645,84.432094,191735
2015-08-21,83.188617,85.634122,83.02282,83.478761,217547
2015-08-24,81.37314,81.986589,79.275809,80.900619,391994
2015-08-25,81.812502,84.307746,81.232213,83.686008,261156
2015-08-26,83.478761,83.768906,81.986589,82.633197,208496
2015-08-27,85.261079,86.25586,84.349195,85.675571,208394
2015-08-28,85.965716,86.338759,84.059051,84.846586,162524
2015-08-31,84.473543,84.846586,83.56166,84.473543,141304
2015-09-01,83.727457,83.727457,81.94514,83.02282,164540
2015-09-02,83.520211,84.307746,82.774124,83.851805,152190
2015-09-03,84.597891,85.343977,84.017602,85.012383,170007
2015-09-04,84.1005,84.307746,82.268444,82.591748,141801
2015-09-07,83.147168,83.395863,81.90369,82.500559,107484
2015-09-08,82.898472,84.390645,82.857023,83.603109,117517
2015-09-09,85.882817,85.882817,83.727457,83.976152,107205
2015-09-10,83.56166,84.680789,83.105718,84.349195,101849
2015-09-11,84.597891,84.597891,82.981371,83.727457,151677
2015-09-14,83.851805,84.63934,83.105718,83.603109,123401
2015-09-15,83.810355,83.934703,82.235284,83.603109,161117
2015-09-16,84.432094,85.509774,84.141949,84.349195,191014
2015-09-17,84.680789,84.846586,84.1005,84.307746,112493
2015-09-18,84.1005,84.183398,82.069487,82.815574,239529
2015-09-21,82.740965,84.059051,81.970009,83.395863,167112
2015-09-22,83.644558,83.686008,80.676793,81.174184,191285
2015-09-23,81.091285,82.036328,80.245721,81.290242,220736
2015-09-24,81.530647,81.704734,78.993954,79.582533,262954
2015-09-25,80.900619,83.02282,80.784561,82.699516,261557
2015-09-28,82.591748,83.02282,80.469547,80.469547,227929
2015-09-29,79.76491,81.190764,79.085142,80.801141,372867
2015-09-30,82.334763,83.644558,82.177255,83.230066,207884
2015-10-01,84.017602,84.224848,82.086067,82.658067,166180
2015-10-02,83.02282,83.976152,81.447749,82.732675,147087
2015-10-05,83.727457,85.675571,83.727457,85.261079,159153
2015-10-06,85.799919,87.209193,85.468325,86.7947,132923
2015-10-07,87.001947,88.618467,86.877599,87.830931,175847
2015-10-08,87.582236,88.328322,87.126294,87.91383,129357
2015-10-09,88.701365,89.281654,87.789482,87.830931,161945
2015-10-12,88.203974,88.618467,87.706584,88.286873,150238
2015-10-13,88.328322,88.328322,86.007165,86.628903,174356
2015-10-14,86.587454,86.7947,85.385426,86.131513,140028
2015-10-15,85.385426,86.214411,84.680789,84.722239,251116
2015-10-16,76.780565,78.853027,74.194133,75.346421,1501872
2015-10-19,75.039697,75.114306,72.080222,73.149612,841347
2015-10-20,73.2408,73.381728,72.370366,73.174481,327233
2015-10-21,73.365148,75.42932,73.166192,74.666654,368031
2015-10-22,74.766132,77.626129,74.177553,77.510071,400242
2015-10-23,78.488273,80.013605,78.173259,79.632272,331752
2015-10-26,79.574243,79.574243,78.073781,78.446824,249348
2015-10-27,77.493492,77.501782,75.852102,76.051058,338045
2015-10-28,76.556739,78.372216,75.97645,78.082071,176556
2015-10-29,78.504853,78.753549,77.02097,77.228217,177637
2015-10-30,77.60955,77.907984,76.979521,77.58468,211421
2015-11-02,77.460332,78.65407,77.219927,77.659289,232901
2015-11-03,78.753549,79.168041,76.52358,77.543231,337998
2015-11-04,77.808506,77.841665,75.586827,76.813724,273114
2015-11-05,76.996101,77.335985,76.034479,77.07071,345970
2015-11-06,77.012681,77.05413,75.852102,76.390942,302492
2015-11-09,76.531869,77.004391,75.736044,75.935,189075
2015-11-10,75.926711,76.142247,74.036625,74.840741,304278
2015-11-11,75.155755,76.780565,74.840741,75.296682,311812
2015-11-12,75.354711,75.852102,73.141322,73.80451,270361
2015-11-13,73.729901,73.738191,70.952802,71.475063,533790
2015-11-16,70.712397,71.64086,70.190136,70.845034,266845
