Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2015-04-07,26.6746,26.6746,25.2033,25.4187,366.2542372986
2015-04-08,26.6746,26.6746,25.0394,25.0394,1802.4406780176
2015-04-09,26.6746,31.6306,25.238,30.0479,5804.5423730472
2015-04-10,30.0994,30.3316,28.3949,29.6864,4667.3389831842
2015-04-13,31.3215,31.3215,29.6864,29.6864,6869.1355934166
2015-04-14,30.547,32.2683,28.4989,30.1162,4923.6101696322
2015-04-15,32.672,32.672,32.672,32.672,35.2372881366
2015-04-16,32.672,32.672,30.96,30.96,3.2033898306
2015-04-17,32.672,32.672,32.5437,32.5689,21.355932204
2015-04-20,31.8375,31.8375,30.754,30.754,109.9830508506
2015-04-21,31.8375,31.8375,30.9769,30.9769,638.5423728996
2015-04-22,30.9769,30.9769,30.1162,30.1162,42.711864408
2015-04-23,30.9769,30.9769,30.1162,30.1162,1171.3728813894
2015-04-24,30.9769,30.9769,30.1162,30.2885,1369.9830508866
2015-04-27,30.9769,31.579,30.7025,30.7025,2862.7627119462
2015-04-28,31.8375,31.8375,31.8375,31.8375,4.2711864408
2015-04-29,31.8375,31.8375,31.8375,31.8375,3.2033898306
2015-04-30,31.8375,31.8375,30.4861,31.8375,721.8305084952
2015-05-04,31.8375,31.8375,29.8587,29.8587,64.067796612
2015-05-05,31.7514,31.7514,31.4161,31.579,1419.1016949558
2015-05-06,31.8375,31.8375,31.8375,31.8375,1.0677966102
2015-05-07,31.8375,31.8375,31.8375,31.8375,1.0677966102
2015-05-08,31.8375,33.9896,31.579,31.579,1801.3728814074
2015-05-11,32.2683,34.4195,30.9853,33.3434,3436.1694916236
2015-05-13,32.6982,32.7403,32.6982,32.6982,1917.7627119192
2015-05-14,33.541,33.541,33.541,33.541,2.1355932204
2015-05-15,31.0883,32.6982,31.0883,32.6982,585.1525423896
2015-05-18,32.6982,32.6982,31.4077,31.8375,3170.2881356838
2015-05-19,32.2683,32.2683,32.2683,32.2683,7.4745762714
2015-05-20,32.303,32.6888,31.4077,32.6888,11.7457627122
2015-05-21,32.2683,32.2683,32.2683,32.2683,1510.932203433
2015-05-22,32.6888,32.6888,32.6888,32.6888,137.7457627158
2015-05-25,32.2683,32.6888,32.2683,32.6888,295.7796610254
2015-05-26,32.6888,32.6888,32.2683,32.2683,278.6949152622
2015-05-27,32.2683,32.6888,32.2683,32.5259,2549.8983051576
2015-05-28,32.6813,32.6813,32.5259,32.5259,217.8305084808
2015-05-29,32.5259,32.5259,32.5259,32.5259,951.4067796882
2015-06-01,32.6551,32.6551,32.3545,32.3545,55.5254237304
2015-06-02,32.2683,32.6551,32.2683,32.612,556.3220339142
2015-06-03,32.2683,32.6036,32.2683,32.6036,153.7627118688
2015-06-05,32.6036,32.6036,32.5259,32.5259,561.6610169652
2015-06-08,32.5259,32.5259,32.2683,32.2683,60.8644067814
2015-06-09,32.5259,32.5259,32.5174,32.5174,193.2711864462
2015-06-10,32.5174,33.2488,32.4996,33.2488,3806.694915363
2015-06-11,34.324,34.324,33.5579,34.324,595.8305084916
2015-06-12,34.4017,37.0005,34.2303,37.0005,3851.5423729914
2015-06-15,37.0005,37.0005,34.4101,34.4195,5933.7457628814
2015-06-16,34.4195,34.4195,33.6094,34.4195,3561.101695017
2015-06-17,34.4101,34.4101,33.8164,34.4101,364.1186440782
2015-06-18,34.4101,34.4101,33.8164,34.4101,341.694915264
2015-06-23,33.8772,34.4101,32.3798,34.4101,178.3220339034
2015-06-24,34.4101,38.7134,31.8544,34.4195,24246.457627811
2015-06-25,34.2472,35.9244,33.5579,35.4,25284.355932926
2015-06-26,35.2792,35.2792,35.2792,35.2792,116.3898305118
2015-06-29,34.4195,34.4195,34.4195,34.4195,158.0338983096
2015-06-30,34.4101,35.2792,33.0419,35.2792,4303.220339106
2015-07-01,34.4195,35.2792,34.4195,34.8493,2305.3728814218
2015-07-02,34.4101,37.7581,33.2142,35.7961,1321.9322034276
2015-07-03,38.6525,38.6787,36.2607,38.6272,182.5932203442
2015-07-06,38.6178,38.6178,37.8003,38.2226,4.2711864408
2015-07-07,38.2048,38.2048,35.9685,36.8282,1134.0000000324
2015-07-08,38.1365,38.1365,34.427,36.0537,531.7627118796
2015-07-09,36.226,36.226,34.4616,34.4616,556.3220339142
2015-07-10,34.4616,35.2792,34.4616,34.4785,12.8135593224
2015-07-13,35.2792,35.2792,34.5909,35.2792,1152.1525424058
2015-07-14,35.2792,35.2792,35.0647,35.2792,3413.7457628094
2015-07-15,35.2792,35.2792,34.8587,35.2792,554.1864406938
2015-07-16,35.4515,35.4515,33.5579,34.3071,2412.1525424418
2015-07-17,35.193,35.193,34.2125,34.2125,221.0338983114
2015-07-20,33.9896,33.9896,33.5579,33.5579,1054.9830508776
2015-07-21,33.5579,33.5579,33.5579,33.5579,35.2372881366
2015-07-22,32.5259,34.3755,32.5259,34.3755,4.2711864408
2015-07-23,34.3333,34.3333,32.6982,32.6982,17.0847457632
2015-07-24,34.3755,34.3755,32.5259,32.5259,2.1355932204
2015-07-27,32.6982,33.5579,32.6982,33.5579,59.7966101712
2015-07-28,33.128,34.3755,33.128,34.3755,74.745762714
2015-07-29,33.2142,34.4195,33.2142,33.2236,294.7118644152
2015-07-30,33.2573,34.3333,33.2573,34.3333,143.0847457668
2015-08-03,34.3333,34.3333,33.3097,33.5579,655.6271186628
2015-08-04,33.3434,33.3434,33.128,33.128,30452.491526294
2015-08-05,32.8705,32.8705,31.4507,31.4507,82.2203389854
2015-08-06,31.5023,31.5023,31.5023,31.5023,116.3898305118
2015-08-07,31.3384,31.3384,31.3384,31.3384,1.0677966102
2015-08-10,31.4161,31.579,31.4161,31.4929,175.1186440728
2015-08-11,31.4161,32.8705,31.4161,32.8705,123.8644067832
2015-08-13,31.4929,32.8705,31.4929,32.8705,14.9491525428
2015-08-14,31.579,32.6982,31.0115,32.6982,407.8983050964
2015-08-17,31.063,32.6982,31.063,32.6982,59.7966101712
2015-08-19,34.4195,34.4195,34.4195,34.4195,5.338983051
2015-08-21,33.5579,33.5579,30.2024,30.3831,1875.0508475112
2015-08-24,30.2117,30.3747,29.264,29.264,639.6101695098
2015-08-25,29.3848,30.9684,29.3848,30.9684,120.6610169526
2015-08-27,30.0301,30.8055,30.0301,30.8055,117.457627122
2015-08-28,30.8917,30.8917,30.8739,30.8823,185.7966101748
2015-08-31,30.96,33.5579,30.96,33.5579,545.6440678122
