Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2015-04-07,14.345,14.671,14.345,14.542,39928
2015-04-08,14.661,14.976,14.651,14.937,104177
2015-04-09,15.085,15.38,15.085,15.213,90100
2015-04-10,15.292,15.38,14.947,14.986,41803
2015-04-13,14.986,15.193,14.661,14.789,51351
2015-04-14,14.74,14.779,14.109,14.572,68980
2015-04-15,14.582,14.661,14.306,14.661,15650
2015-04-16,14.582,14.661,14.385,14.631,32096
2015-04-17,14.7,15.233,14.7,14.848,322372
2015-04-20,14.769,15.183,14.769,15.104,126150
2015-04-21,15.134,15.371,15.134,15.134,86962
2015-04-22,15.183,15.558,15.183,15.38,78179
2015-04-23,15.43,15.755,15.43,15.578,98607
2015-04-24,15.676,15.972,15.578,15.765,110098
2015-04-27,15.923,15.923,15.479,15.479,61881
2015-04-28,15.38,15.43,14.986,15.233,92253
2015-04-29,15.38,15.568,14.986,15.035,35796
2015-04-30,15.233,15.233,14.69,14.986,50115
2015-05-04,14.887,15.361,14.878,15.331,29722
2015-05-05,15.38,15.538,15.183,15.183,23886
2015-05-06,15.213,15.972,15.213,15.735,60817
2015-05-07,15.745,15.972,15.449,15.518,31956
2015-05-08,15.696,15.696,15.095,15.213,82178
2015-05-11,15.193,15.351,15.134,15.183,58111
2015-05-12,14.74,15.272,14.296,15.075,208941
2015-05-13,14.838,15.065,14.769,14.887,73377
2015-05-14,14.887,14.937,14.592,14.7,33693
2015-05-15,14.69,15.065,14.375,14.887,96431
2015-05-18,14.887,14.887,14.523,14.69,69132
2015-05-19,14.69,14.69,14.562,14.69,27555
2015-05-20,14.542,14.69,13.409,14.621,156415
2015-05-21,14.592,14.661,14.503,14.661,45494
2015-05-22,14.631,14.631,14.079,14.296,100730
2015-05-25,14.296,14.316,13.803,13.803,109494
2015-05-26,13.734,14.01,13.695,13.803,60183
2015-05-27,13.803,13.803,13.261,13.31,77423
2015-05-28,13.083,13.734,12.492,13.665,128645
2015-05-29,13.754,14.148,13.754,14.04,42465
2015-06-01,13.813,13.941,13.616,13.793,30419
2015-06-02,13.773,13.842,13.438,13.842,24879
