Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2015-04-06,45.4781,46.3507,45.3878,45.9302,5458044.854656
2015-04-07,45.9302,46.1782,45.8092,45.8757,4335730.6129924
2015-04-08,46.0561,46.5073,45.9252,46.4478,7080886.6138589
2015-04-09,46.5203,46.8317,46.3358,46.3923,5754200.3281364
2015-04-10,46.4835,46.554,46.0234,46.0432,6424933.8447
2015-04-13,46.0432,46.0858,45.6248,45.7191,7940074.9119421
2015-04-14,45.6248,45.9669,45.4532,45.838,5179462.5069362
2015-04-15,46.3507,46.3973,45.9302,45.9768,6189247.6320931
2015-04-16,45.8182,46.1355,45.7785,46.0095,4455480.1805749
2015-04-17,45.6734,45.7626,45.1994,45.3878,6567590.192476
2015-04-20,45.6337,46.2147,45.6059,46.0521,6740395.9572648
2015-04-21,46.4121,46.4518,45.9252,46.192,5564315.574602
2015-04-22,46.197,46.2367,45.7279,46.1255,4240358.1353335
2015-04-23,45.954,46.789,45.7993,46.5629,5067860.1494433
2015-04-24,46.2694,46.6432,46.1553,46.4974,4705141.3947192
2015-04-27,46.6382,46.9734,46.4151,46.4924,5600046.722998
2015-04-28,46.3705,46.429,45.6833,45.9917,6548288.5956059
2015-04-29,45.838,46.2832,45.7131,46.1355,5857131.0852383
2015-04-30,45.9401,46.2921,45.3462,45.5216,7053310.7430954
2015-05-01,46.0007,46.439,45.7825,46.4191,7255895.8263573
2015-05-04,46.5203,46.6045,46.2793,46.4429,4947998.6447002
2015-05-05,46.2544,46.4607,46.1782,46.2494,5541636.7025011
2015-05-06,46.183,46.5203,45.9074,46.1613,5858109.2748394
2015-05-07,46.2644,46.785,46.0651,46.7216,5999709.782912
2015-05-08,47.1083,47.5753,47.1083,47.1737,6008689.9668268
2015-05-11,47.1638,47.5386,47.016,47.3383,5797202.3497526
2015-05-12,46.9635,47.2906,46.789,47.143,5077044.0388213
2015-05-13,47.2906,47.3096,46.8762,47.0487,4894462.4286793
2015-05-14,47.4107,47.6706,47.1163,47.6369,5898604.3074368
2015-05-15,47.737,48.3745,47.6061,48.3498,8538792.4965682
2015-05-18,48.4073,48.5848,48.0969,48.2417,5477133.6700768
2015-05-19,48.3448,48.441,48.0642,48.1941,6482786.1962801
2015-05-20,48.3201,48.4262,47.9998,48.1802,5862891.3110127
2015-05-21,48.2953,48.4499,48.0126,48.0871,5922269.4366819
2015-05-22,48.3101,48.4569,47.9164,48.1019,6138970.7034853
2015-05-26,48.1019,48.2417,47.5198,47.6269,6178883.8645365
2015-05-27,47.6556,47.8619,47.1163,47.3611,9658678.4077584
2015-05-28,47.2045,47.5436,46.8762,47.2372,6259829.5582443
2015-05-29,47.1787,47.2759,46.6631,46.9496,6022211.1690647
2015-06-01,46.9962,47.2342,46.8494,46.9923,5353051.8318489
2015-06-02,47.0111,47.4256,46.8713,47.1519,5386096.4883921
2015-06-03,47.2342,47.6061,46.9962,47.3383,5160816.3979432
2015-06-04,47.129,47.7043,46.9248,47.0806,4836437.6333655
2015-06-05,46.8713,47.2144,46.7046,47.1163,4105178.3831267
2015-06-08,46.8861,47.0537,46.8167,46.8444,4670783.7455361
2015-06-09,46.9099,47.0726,46.544,46.8029,3764066.5257139
2015-06-10,47.025,48.0444,46.9446,47.7231,6788730.624871
2015-06-11,48.5322,48.5461,47.7845,47.9749,6688973.4375366
2015-06-12,47.8212,48.0781,47.6606,47.9264,4473946.786734
