Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2015-04-07,165.450599,168.993233,164.732497,168.562375,7037
2015-04-08,169.471967,169.615588,167.269789,169.615582,6197
2015-04-09,170.429436,173.301842,170.429436,173.301842,8653
2015-04-10,175.21678,178.089186,173.780577,178.089186,14946
2015-04-13,178.089186,179.764756,176.365742,179.764756,9684
2015-04-14,177.514705,179.190275,176.509363,177.945571,15159
2015-04-15,179.046655,186.275544,179.046655,185.557445,20159
2015-04-16,186.467037,188.860709,185.796809,187.041524,17399
2015-04-17,186.706405,186.706405,182.685036,182.972282,7862
2015-04-20,181.536073,183.690378,181.057339,182.254181,5771
2015-04-21,179.716883,184.025492,179.716883,181.488203,3981
2015-04-22,182.972277,190.967141,182.780783,190.679894,16720
2015-04-23,191.493748,192.929951,189.770305,191.972483,12478
2015-04-24,188.142608,191.493748,186.08405,188.621342,13074
2015-04-27,186.323417,188.621342,185.988303,188.094731,5916
2015-04-28,188.286228,188.286228,185.94043,186.419161,8221
2015-04-29,185.270202,185.413822,179.094528,179.429636,11294
2015-04-30,178.137059,178.615794,172.105006,174.115696,21048
2015-05-04,174.546552,178.56792,174.546552,176.988103,5165
2015-05-05,176.605109,177.275338,172.918855,173.445457,6410
2015-05-06,162.769686,173.301842,160.950495,162.338828,31741
2015-05-07,161.234479,161.234479,154.224285,155.568706,33812
2015-05-08,155.664736,157.393277,151.775518,153.600086,26051
2015-05-11,155.760766,155.760766,151.919563,152.399711,14871
2015-05-12,152.399713,152.399713,149.758884,149.758884,7442
2015-05-13,150.143007,153.648104,149.902932,151.055295,16248
2015-05-14,150.527127,151.055292,148.942631,150.143013,8589
2015-05-15,149.806902,153.119939,149.182706,150.046977,11873
2015-05-18,151.247353,152.207653,150.143007,150.143013,10345
2015-05-19,150.287052,157.873427,150.287052,153.119936,21605
2015-05-20,154.56039,154.56039,149.998962,150.046977,11972
2015-05-21,151.247353,151.871548,148.606526,149.326751,6179
2015-05-22,149.566826,149.998962,147.59821,147.934318,5425
2015-05-26,150.527127,150.527127,146.493864,146.733942,9794
2015-05-27,146.73394,147.59821,145.581579,146.541885,9685
2015-05-28,146.445849,147.79027,144.237158,144.621284,11923
2015-05-29,145.005398,145.005398,139.48367,140.011838,16107
2015-06-01,141.548316,141.548316,137.947189,139.147559,16833
2015-06-02,140.54,141.404271,138.715429,140.347934,12616
2015-06-03,141.164196,146.349819,139.339625,144.717305,19259
2015-06-04,143.853038,144.477233,141.020151,141.020156,12372
2015-06-05,140.395955,141.068166,139.051534,139.579705,12124
2015-06-08,140.828091,140.828091,135.402392,136.218653,17050
2015-06-09,136.986888,138.859474,136.938873,138.187258,17892
2015-06-10,138.283294,138.907489,136.554753,138.475351,9239
2015-06-11,139.48367,145.485549,139.243594,142.604647,10479
2015-06-12,140.828091,143.516932,140.828091,142.460607,17074
2015-06-15,143.084797,143.084797,140.34794,140.732063,20258
2015-06-16,141.164196,142.652662,138.523369,140.828085,11465
2015-06-17,142.268542,142.268542,137.226963,137.611086,9675
2015-06-18,138.283294,142.844722,136.122617,142.220532,10818
2015-06-19,143.468917,143.468917,136.074602,136.55475,13183
2015-06-22,140.15588,140.15588,135.354377,137.082918,16125
2015-06-23,137.755128,139.435655,137.130933,139.051537,11430
2015-06-24,139.29161,140.011835,135.978572,137.947183,10437
2015-06-25,137.995204,139.531685,136.842843,138.955501,5902
2015-06-26,139.051534,141.164196,137.947189,140.636028,11122
2015-06-29,137.034903,140.924121,136.698798,140.059856,17693
2015-06-30,141.260226,141.260226,136.794825,136.794825,13158
2015-07-01,139.003519,142.556632,136.842843,141.596328,14740
2015-07-02,143.084797,143.901053,142.316557,143.180833,10981
2015-07-03,143.612962,146.109744,142.220526,145.293491,10604
2015-07-06,144.957383,146.637909,141.980451,145.581585,14958
2015-07-07,145.629594,146.013714,144.237158,144.765323,16910
2015-07-08,144.045098,146.685925,144.045098,145.917681,8883
2015-07-09,142.988767,149.374766,142.940752,148.414469,16161
2015-07-10,149.806902,151.823533,147.550195,151.295371,14557
2015-07-13,151.727503,152.783834,149.230721,152.255671,17044
2015-07-14,151.247353,152.735819,150.767202,152.063614,9551
2015-07-15,152.063608,152.303683,147.934315,148.942637,8817
2015-07-16,149.278736,152.735819,149.278736,151.823539,8465
2015-07-17,151.583458,152.159638,150.239037,151.727503,7510
2015-07-20,151.727503,153.311999,149.038661,149.902937,11426
2015-07-21,149.662857,151.007277,148.318436,149.518809,8927
2015-07-22,147.166075,148.270421,146.445849,147.02203,7917
2015-07-23,148.270421,148.606526,146.926,147.838285,7674
2015-07-24,148.846601,158.017472,148.846601,155.088555,35770
2015-07-27,153.840164,156.529006,153.840164,154.65642,8933
2015-07-28,155.32863,157.537322,154.65642,156.480991,7460
2015-07-29,157.873427,159.505938,156.961141,159.409908,15510
2015-07-30,160.370209,162.722945,158.449608,162.5789,15111
2015-07-31,162.5789,166.276058,161.42654,165.843923,13182
2015-08-03,168.436734,168.916885,164.307441,165.171712,9657
2015-08-04,164.259426,167.476434,164.259426,166.660178,10038
2015-08-05,167.092313,172.421982,166.612163,169.877185,17660
2015-08-06,168.916885,171.605726,168.916885,170.165275,10800
2015-08-07,168.820855,171.413666,168.244674,169.82917,6937
2015-08-10,170.02123,171.605726,169.493065,170.261306,9033
2015-08-11,170.741456,171.029546,167.860554,168.340704,13055
2015-08-12,167.572464,171.269621,166.804223,167.956584,12566
2015-08-13,168.9649,171.077561,168.292689,169.877185,6771
2015-08-14,169.54108,175.446929,169.493065,173.142207,11211
2015-08-17,175.302884,175.879064,172.758087,174.342583,11766
2015-08-18,173.526328,174.390598,172.277937,173.910448,5804
2015-08-19,173.862433,174.822734,171.701756,171.701756,7930
2015-08-20,167.668494,170.069245,166.612163,168.724824,9714
2015-08-21,162.29081,175.110824,158.641668,169.15696,22415
2015-08-24,162.29081,166.035983,161.378524,164.115381,15696
2015-08-25,163.731261,171.893817,163.731261,167.092313,10363
2015-08-26,166.132013,166.132013,162.626915,162.77096,12011
2015-08-27,168.052614,172.518012,165.747892,170.02123,23654
2015-08-28,170.981531,172.037862,165.843923,168.292689,15567
2015-08-31,166.996283,171.605726,166.900253,171.605726,7279
2015-09-01,169.877185,170.981531,165.555832,167.620479,9109
2015-09-02,170.933516,172.662057,167.236358,171.845802,8661
2015-09-03,172.710072,176.50326,171.845802,174.534643,10586
2015-09-04,172.902132,172.902132,168.484749,169.012915,15244
2015-09-07,170.645426,170.645426,167.908569,169.301005,4430
2015-09-08,169.108945,172.614042,168.9649,171.413666,6944
2015-09-09,174.294568,174.294568,171.701756,172.229922,5856
2015-09-10,171.317636,171.653741,167.476434,168.724824,9560
2015-09-11,169.685125,169.685125,164.163396,166.612163,8535
2015-09-14,165.747892,172.181907,165.747892,171.125576,9173
2015-09-15,171.989847,175.927079,168.820855,175.158839,7894
