Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2015-04-02,7.8899,7.9594,7.8465,7.8552,12459
2015-04-07,7.8985,7.9854,7.8552,7.9679,12321
2015-04-08,7.9679,8.1068,7.942,8.1068,19404
2015-04-09,8.1329,8.3325,8.1329,8.2371,34404
2015-04-10,8.2371,8.2371,8.2023,8.2371,10423
2015-04-13,8.2892,8.3152,8.2371,8.2892,9403
2015-04-14,8.3325,8.3325,8.2457,8.3066,10741
2015-04-15,8.2892,8.3325,8.2457,8.3325,13836
2015-04-16,8.3239,8.3239,8.2457,8.2717,3125
2015-04-17,8.2717,8.3325,8.2023,8.2632,5316
2015-04-20,8.2632,8.3325,8.2632,8.3325,1705
2015-04-21,8.3325,8.3325,8.2457,8.3152,5129
2015-04-22,8.3325,8.3325,8.2023,8.2892,10922
2015-04-23,8.3325,8.8011,8.2457,8.5061,55598
2015-04-24,8.4801,8.6625,8.3933,8.5409,10461
2015-04-27,8.4627,8.5409,8.3412,8.4107,3274
2015-04-28,8.4193,8.4193,8.1677,8.3066,15017
2015-04-29,8.3325,8.3325,8.3066,8.3066,126
2015-04-30,8.2892,8.2892,8.2023,8.2457,3199
2015-05-04,8.1677,8.2544,7.5167,8.0548,10506
2015-05-05,8.0722,8.1937,7.7944,7.8118,11339
2015-05-06,7.5947,7.6816,7.3083,7.5341,62406
2015-05-07,7.5427,7.7858,7.5341,7.6036,39952
2015-05-08,7.6642,7.7511,7.5687,7.5687,17381
2015-05-11,7.5861,7.5947,7.3344,7.3344,58830
2015-05-12,7.3778,7.3778,7.2477,7.3083,14270
2015-05-13,7.3257,7.3778,7.2477,7.3083,15934
2015-05-14,7.5079,7.5079,7.1,7.2824,22630
2015-05-15,7.2736,7.3257,6.9439,7.3257,27632
2015-05-18,7.0393,7.265,6.7876,6.909,31388
2015-05-19,7.074,7.074,6.9004,6.9439,8014
2015-05-20,6.9439,7.048,6.9265,6.9439,6778
2015-05-21,7.3517,7.3517,6.9439,6.9439,13153
2015-05-22,6.9872,7.1261,6.9612,7.1088,8662
2015-05-25,7.265,7.265,7.0914,7.1608,2741
2015-05-26,7.2041,7.2041,6.9959,7.1434,14124
2015-05-27,7.1955,7.1955,7.1173,7.1782,1568
2015-05-28,7.1173,7.2824,7.1,7.2477,4317
2015-05-29,7.265,7.265,7.1782,7.2477,5103
2015-06-01,7.1955,7.3344,7.1173,7.1173,2602
2015-06-02,7.1088,7.1173,7.0565,7.074,7431
2015-06-03,7.1348,7.2389,7.1348,7.2389,2565
2015-06-05,7.0654,7.2909,7.0393,7.2041,3887
2015-06-08,7.1868,7.2303,7.0306,7.1173,1115
2015-06-09,6.9786,7.2389,6.8482,6.8482,13441
2015-06-10,6.857,7.0306,6.5098,6.8136,19398
2015-06-11,6.9004,6.9004,6.7007,6.7007,2232
2015-06-12,6.8222,6.8482,6.6401,6.7528,3412
2015-06-15,6.8136,6.8482,6.7528,6.8482,5649
2015-06-16,6.8397,6.857,6.8397,6.857,2080
2015-06-17,6.857,7.0219,6.857,7.0219,1340
2015-06-18,6.9351,6.9439,6.6834,6.9439,12224
2015-06-19,6.9439,6.9439,6.8482,6.9351,4028
2015-06-22,6.7442,6.9439,6.7442,6.9351,2428
2015-06-23,6.9351,6.9439,6.8744,6.8829,4633
2015-06-24,6.857,6.9439,6.857,6.857,4340
2015-06-25,6.857,6.9351,6.8222,6.9351,1295
2015-06-26,6.857,7.1608,6.857,7.1608,4278
2015-06-29,6.8222,6.9439,6.5098,6.9265,14032
2015-06-30,6.7354,6.9786,6.7354,6.9351,1036
2015-07-01,6.8656,6.8656,6.6486,6.6834,11588
2015-07-02,6.7268,6.8656,6.6834,6.6834,6162
2015-07-03,6.9265,6.9265,6.7354,6.8917,3619
2015-07-06,6.6139,6.8136,6.6139,6.8136,2071
2015-07-07,6.7962,6.8917,6.5966,6.5966,1346
2015-07-08,6.6486,6.805,6.6486,6.7962,1228
2015-07-09,6.7962,6.7962,6.6486,6.7962,862
2015-07-10,6.7962,6.8829,6.6834,6.8829,5183
2015-07-13,6.8656,6.9351,6.7616,6.9351,2330
2015-07-14,6.9351,6.9351,6.8397,6.9265,2422
2015-07-15,6.9351,6.9439,6.857,6.9351,2966
2015-07-16,6.9265,6.9351,6.857,6.9177,6726
2015-07-17,6.857,6.9177,6.8482,6.909,2691
2015-07-20,6.909,6.909,6.7962,6.909,380
2015-07-21,6.909,6.909,6.857,6.909,5116
2015-07-22,6.8397,6.8829,6.7703,6.8397,4595
2015-07-23,6.7181,6.8136,6.5966,6.8136,6563
2015-07-24,6.6486,6.7528,6.6486,6.7442,1004
